imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.00796520709991455, 0.010823488235473633, -0.007465441572601128, 1.7270341039949517e-11, -3.10413371002126e-05, -5.563658866947208e-07, 3.104133710021259e-05, 0.0, 1731679730039057779, 
0.011664211750030518, 0.006927847862243652, 0.008907717327983249, 1.9340434506304522e-11, -7.319035744958403e-05, -2.6424839528385774e-07, 2.9669157974454132e-05, -1.7934493497336285e-13, 1731679730238810144, 
-0.004597485065460205, -0.003422379493713379, -0.0026287978300791326, 1.6483119307592557e-11, 9.397136271968164e-05, 1.7540577076403602e-07, 1.3421761014675755e-05, 1.1984772052730231e-12, 1731679730388819040, 
-0.07053041458129883, -0.3050917387008667, -0.06058303807645889, 0.010170140893681784, 0.01769633801728465, 0.5747031325773865, 0.0003470526349965795, -3.154307402604037e-11, 1731679730579376669, 
0.22214758396148682, -0.23826885223388672, 0.18071495793700088, -0.0723191155763949, -0.06885784086043663, 1.050266965572936, 0.0006789583708529403, 5.499484880974623e-06, 1731679730738800753, 
0.041995465755462646, 0.21739846467971802, 0.06260758695805312, 0.11266138359999232, 0.1145935749220521, 0.9831387464491436, -0.003887041312511853, -0.0003628282544834679, 1731679730840450527, 
0.05735576152801514, 0.08719247579574585, 0.058023578237907325, 0.07988310332907439, 0.07839628772364202, 1.018965382782838, 0.0070214105997315045, 0.0016208665064959085, 1731679730949258015, 
-0.017215073108673096, 0.09687143564224243, -0.006245046976163571, 0.07888687170838528, 0.0803681118910179, 0.9815693046933684, 0.014558537147646426, 0.0037742005277357792, 1731679731040457188, 
-0.03534424304962158, -0.1723310351371765, -0.0313798892345523, -0.041495244278803856, -0.042317174988239434, 0.9805769002854278, 0.020998953704360727, 0.006354519139134572, 1731679731139796495, 
-0.27319270372390747, -0.024271845817565918, -0.23777008460986443, 0.013239977517228888, 0.013195788211851356, 1.0033487431495638, 0.01774010780329889, 0.004661087907524436, 1731679731239954796, 
0.06381696462631226, -0.11717945337295532, 0.019772126173695947, -0.02636170723531035, -0.025686517206987156, 1.0262857756418426, 0.018701254757422275, 0.0052884848443170785, 1731679731349052138, 
-0.13404768705368042, -0.13088274002075195, -0.11159771659825338, -0.02317958483813817, -0.022249673913873, 1.0417943619247991, 0.01672293566875522, 0.003697869755219932, 1731679731439356067, 
0.011477649211883545, -0.13263505697250366, -0.006426374483451597, -0.009731690205846431, -0.009110094189780545, 1.0682315685345138, 0.015289866326515288, 0.002278133671629175, 1731679731538833974, 
0.6715008020401001, 0.10478055477142334, 0.5728410126836356, 0.1212773818419206, 0.10641602056964669, 1.1396534205349984, 0.0153274563491969, 0.0023113906283991435, 1731679731638802130, 
-0.3076135516166687, 0.12248086929321289, -0.17919493399659847, 0.17921561297210958, 0.1360992059124559, 1.316801312473401, 0.021072242265153477, 0.011120315845948543, 1731679731729912790, 
-0.25246620178222656, -0.2651691436767578, -0.24215796999251626, -0.05717822823720376, -0.04633269262218556, 1.234079545159545, 0.026556530451721332, 0.02217437938505579, 1731679731838817570, 
-0.21051418781280518, -0.5465118288993835, -0.21545741627848158, -0.1941159210409722, -0.20677461753323773, 0.9387802204966926, 0.02483343337956929, 0.01717513201656712, 1731679731938806367, 
-0.4874982237815857, -0.7732354402542114, -0.4479100916996949, -0.30374079418584693, -0.2750278296415096, 1.1044002149955652, 0.02041688099766565, -0.0033313431274625055, 1731679732039803542, 
-0.3741624355316162, -0.04775047302246094, -0.38414158052743386, 0.020661808862736216, 0.020063365674618527, 1.029827656925715, 0.017624434146302163, -0.027527518260321793, 1731679732148718960, 
