path_x, path_y, path, index, 
1.6600000000000001, 2.3999999999999995, 0, 0, 
1.7100000000000009, 2.3500000000000005, 1, 1, 
1.7600000000000007, 2.3, 2, 2, 
1.8100000000000005, 2.250000000000001, 3, 3, 
1.8100000000000005, 2.2, 4, 4, 
1.8100000000000005, 2.1499999999999995, 5, 5, 
1.8100000000000005, 2.1000000000000005, 6, 6, 
1.8100000000000005, 2.05, 7, 7, 
1.8100000000000005, 2.000000000000001, 8, 8, 
1.8600000000000003, 1.9500000000000002, 9, 9, 
1.8600000000000003, 1.8999999999999995, 10, 10, 
1.8600000000000003, 1.8500000000000005, 11, 11, 
1.8600000000000003, 1.7999999999999998, 12, 12, 
1.8600000000000003, 1.75, 13, 13, 
1.8600000000000003, 1.7000000000000002, 14, 14, 
1.8600000000000003, 1.6500000000000004, 15, 15, 
1.8600000000000003, 1.6000000000000005, 16, 16, 
1.8600000000000003, 1.5499999999999998, 17, 17, 
1.9100000000000001, 1.5, 18, 18, 
1.9600000000000009, 1.5, 19, 19, 
2.0100000000000007, 1.5, 20, 20, 
2.0600000000000005, 1.5, 21, 21, 
2.1100000000000003, 1.5, 22, 22, 
2.16, 1.5, 23, 23, 
2.210000000000001, 1.5, 24, 24, 
2.2600000000000007, 1.5, 25, 25, 
2.3100000000000005, 1.5, 26, 26, 
2.3600000000000003, 1.5, 27, 27, 
2.41, 1.5, 28, 28, 
2.460000000000001, 1.5, 29, 29, 
2.5100000000000007, 1.5, 30, 30, 
2.5600000000000005, 1.5, 31, 31, 
2.6100000000000003, 1.5, 32, 32, 
2.66, 1.5, 33, 33, 
2.710000000000001, 1.5, 34, 34, 
2.7600000000000007, 1.5499999999999998, 35, 35, 
2.8100000000000005, 1.6000000000000005, 36, 36, 
2.8600000000000003, 1.6500000000000004, 37, 37, 
2.91, 1.6500000000000004, 38, 38, 
2.960000000000001, 1.6500000000000004, 39, 39, 
3.0100000000000007, 1.6500000000000004, 40, 40, 
3.0600000000000005, 1.6500000000000004, 41, 41, 
3.1100000000000003, 1.6500000000000004, 42, 42, 
3.16, 1.6500000000000004, 43, 43, 
3.210000000000001, 1.6500000000000004, 44, 44, 
