x, y, theta, stamp, 
0.0, 0.0, -8.016119106074221e-13, 1729862560958358057, 
0.0, 0.0, -8.016119106074221e-13, 1729862561007154776, 
0.0, 0.0, -8.016119106074221e-13, 1729862561054320061, 
0.0, 0.0, -8.016119106074221e-13, 1729862561103687559, 
0.0, 0.0, -8.016119106074221e-13, 1729862561166571706, 
0.0005299592157825828, 9.985083124774974e-06, 0.000505224097831006, 1729862561264136547, 
0.01824723184108734, -0.0002396285708528012, 0.004161852794683362, 1729862561407111583, 
0.03977528586983681, 1.9399376469664276e-05, 0.009266006375382567, 1729862561503673033, 
0.0586734414100647, 0.00028301560087129474, 0.014196612293780716, 1729862561567095371, 
0.10563863068819046, 0.00135510484687984, 0.024363446712500233, 1729862561711081622, 
0.1346323937177658, 0.0022436166182160378, 0.02836967131677596, 1729862561806463676, 
0.1646091789007187, 0.003326507518067956, 0.03607740383131292, 1729862561903443614, 
0.18350279331207275, 0.004189282655715942, 0.04013501124752345, 1729862561966221950, 
0.21292747557163239, 0.005540818907320499, 0.04862437529841278, 1729862562064139915, 
0.2572144865989685, 0.008274499326944351, 0.06135556556117679, 1729862562207152593, 
0.28717127442359924, 0.010225407779216766, 0.06535675696544876, 1729862562303483962, 
0.3067570924758911, 0.011720538139343262, 0.06770880894030133, 1729862562366352487, 
0.3520059883594513, 0.015153614804148674, 0.07897852047398432, 1729862562512086840, 
0.38036972284317017, 0.017751308158040047, 0.08162906613729838, 1729862562606250528, 
0.4097898304462433, 0.020369047299027443, 0.08577238709501578, 1729862562702259718, 
0.4296320378780365, 0.02205897495150566, 0.08807672866901785, 1729862562767349037, 
0.4584515392780304, 0.024709047749638557, 0.09033952500833572, 1729862562863145001, 
0.5027586817741394, 0.029062524437904358, 0.09604042470848617, 1729862563006211700, 
0.5323843955993652, 0.03191797807812691, 0.09588263512750385, 1729862563102719331, 
0.5521554350852966, 0.03395223990082741, 0.09776905300061292, 1729862563166978662, 
0.5964439511299133, 0.03853118419647217, 0.10184747741523228, 1729862563311363503, 
0.6254344582557678, 0.041663624346256256, 0.10106218951317636, 1729862563407251028, 
0.6541520953178406, 0.044591274112463, 0.10230242313629731, 1729862563502710591, 
0.6740947365760803, 0.04657093808054924, 0.10303389548270799, 1729862563566683008, 
0.7036692500114441, 0.049637436866760254, 0.1034644866602233, 1729862563662582855, 
0.7477700114250183, 0.05433020740747452, 0.10488423714016935, 1729862563806361135, 
0.7774322628974915, 0.057452090084552765, 0.10488419225291905, 1729862563902660462, 
0.7975112199783325, 0.05961127579212189, 0.10605645826255644, 1729862563967208004, 
0.8407406210899353, 0.06440220028162003, 0.10690359906431748, 1729862564111003390, 
0.8699702024459839, 0.06777102500200272, 0.10654194032433145, 1729862564206965703, 
0.904071033000946, 0.07167690247297287, 0.10755096913269287, 1729862564319847039, 
0.9185856580734253, 0.07329004257917404, 0.10802803492249649, 1729862564367162358, 
0.948468029499054, 0.0766761302947998, 0.11028979526715582, 1729862564463344677, 
0.9924435615539551, 0.08129322528839111, 0.11100306006721211, 1729862564606204519, 
1.0221402645111084, 0.08442595601081848, 0.11044231382759535, 1729862564702745890, 
1.0424679517745972, 0.08673961460590363, 0.11098300959247806, 1729862564768453817, 
1.0849751234054565, 0.09164070338010788, 0.1107824152390575, 1729862564911128630, 
1.1153277158737183, 0.09501194953918457, 0.11004691702947259, 1729862565008265532, 
1.1439218521118164, 0.09825620800256729, 0.1097950851930687, 1729862565102465387, 
1.1788010597229004, 0.10199779272079468, 0.11013254791629344, 1729862565216131219, 
1.1933517456054688, 0.10374638438224792, 0.11018025520600731, 1729862565263128606, 
1.2385611534118652, 0.10878995805978775, 0.11131588062697956, 1729862565409143219, 
1.2673330307006836, 0.11212389171123505, 0.10951821256248598, 1729862565502203084, 
1.3012187480926514, 0.11596157401800156, 0.10883036125933841, 1729862565615231286, 
1.3152151107788086, 0.11758585274219513, 0.10900564419523931, 1729862565663130593, 
1.3599802255630493, 0.12244050949811935, 0.10993522768985997, 1729862565809141644, 
1.388506293296814, 0.12561464309692383, 0.10877696038653845, 1729862565902195242, 
1.4093214273452759, 0.12798506021499634, 0.10877696038683389, 1729862565968365843, 
1.4383227825164795, 0.1311166137456894, 0.10877696038683389, 1729862566062240438, 
1.4825788736343384, 0.13581819832324982, 0.10938442484885579, 1729862566208159870, 
1.4975558519363403, 0.13742604851722717, 0.10938442484885579, 1729862566257144802, 
1.5459895133972168, 0.1428799331188202, 0.1095639496449711, 1729862566416262887, 
1.574609637260437, 0.14602254331111908, 0.10992902215327092, 1729862566511220309, 
1.6042429208755493, 0.14945176243782043, 0.11120983402971711, 1729862566608162229, 
1.633458137512207, 0.1525890976190567, 0.11229614772218005, 1729862566702788156, 
1.6537481546401978, 0.1546819657087326, 0.11228846695163465, 1729862566767664517, 
1.6835660934448242, 0.15800444781780243, 0.11158193906334353, 1729862566863180730, 
1.7269777059555054, 0.16302885115146637, 0.11677513790959569, 1729862567007213882, 
1.7561659812927246, 0.16638566553592682, 0.11529015911687071, 1729862567103238407, 
1.7906728982925415, 0.17027001082897186, 0.1168538161065458, 1729862567215192953, 
1.8196555376052856, 0.17371679842472076, 0.1168552720698171, 1729862567311115621, 
1.8494354486465454, 0.17715509235858917, 0.11852527992536979, 1729862567407203750, 
1.8786673545837402, 0.18060366809368134, 0.11907301494892894, 1729862567502227242, 
1.8989323377609253, 0.18297097086906433, 0.12068432368424739, 1729862567567272668, 
1.941008448600769, 0.18809515237808228, 0.12321473241398759, 1729862567711148261, 
1.9657872915267944, 0.19128422439098358, 0.12279775372450376, 1729862567807204098, 
1.9858850240707397, 0.1939486712217331, 0.12445827670114616, 1729862567904548680, 
2.004122018814087, 0.19617833197116852, 0.12746540874332, 1729862568015189698, 
2.015444278717041, 0.19763080775737762, 0.1309220442869623, 1729862568111119211, 
2.0246312618255615, 0.1989164650440216, 0.1369912559133272, 1729862568207245647, 
2.0320539474487305, 0.1998816579580307, 0.14042339023460224, 1729862568303186544, 
2.0324923992156982, 0.20003445446491241, 0.1404234953082772, 1729862568367409341, 
2.032471179962158, 0.19998054206371307, 0.14042349530706538, 1729862568463189292, 
2.0324792861938477, 0.19999197125434875, 0.14042349530706538, 1729862568560148815, 
2.0324792861938477, 0.19999197125434875, 0.14042349530706538, 1729862568703323262, 
