x, y, th, stamp, 
-9.202825546264648, 4.380292892456055, 2.229412577207667, 1731681954861945553, 
-9.202825546264648, 4.380292892456055, 2.2294126382688764, 1731681955002185814, 
-9.202825546264648, 4.380292892456055, 2.229412666146146, 1731681955121718470, 
-9.202825546264648, 4.3802924156188965, 2.22941076354753, 1731681955212750610, 
-9.204100608825684, 4.3825554847717285, 2.208426329693954, 1731681955311666553, 
-9.207919120788574, 4.388371467590332, 2.1522638324253323, 1731681955402347679, 
-9.216727256774902, 4.403400897979736, 2.0464588946366056, 1731681955521696429, 
-9.22433853149414, 4.420222759246826, 1.936310758074266, 1731681955612784587, 
-9.231890678405762, 4.444270610809326, 1.7967874869078786, 1731681955711834717, 
-9.236542701721191, 4.468080043792725, 1.6687416680014622, 1731681955801679367, 
-9.237863540649414, 4.501591682434082, 1.5039796908366967, 1731681955921698584, 
-9.235177993774414, 4.528008937835693, 1.3943433256027113, 1731681956011758939, 
-9.228238105773926, 4.558854103088379, 1.2871259290906736, 1731681956112648514, 
-9.218950271606445, 4.587020397186279, 1.2020614000728773, 1731681956201696547, 
-9.203280448913574, 4.624133586883545, 1.1031028047304337, 1731681956321706839, 
-9.188698768615723, 4.651018142700195, 1.0294238248212015, 1731681956412684651, 
-9.170442581176758, 4.679654121398926, 0.9451344162113452, 1731681956511666477, 
-9.15206527709961, 4.703801155090332, 0.869320238481493, 1731681956602069309, 
-9.124802589416504, 4.733737468719482, 0.7657883334056914, 1731681956721722482, 
-9.102813720703125, 4.754295825958252, 0.6898271988375193, 1731681956812686948, 
-9.07727336883545, 4.774154186248779, 0.6035982789048945, 1731681956911739961, 
-9.05282974243164, 4.789836406707764, 0.5188395172568618, 1731681957001942161, 
-9.017480850219727, 4.8081135749816895, 0.41917479487386095, 1731681957121949630, 
-8.990890502929688, 4.819343090057373, 0.34569291348398995, 1731681957212706331, 
-8.961270332336426, 4.829339981079102, 0.27778980570458006, 1731681957311780095, 
-8.928679466247559, 4.838170528411865, 0.213289016181806, 1731681957421716954, 
-8.897944450378418, 4.844758033752441, 0.1558420320637992, 1731681957521986373, 
-8.873034477233887, 4.848628520965576, 0.10620901260356712, 1731681957612694081, 
-8.850525856018066, 4.850978851318359, 0.05627476354252261, 1731681957711801860, 
-8.83178424835205, 4.852216720581055, 0.012879655901565491, 1731681957802294298, 
-8.804619789123535, 4.852115631103516, -0.044589602465001786, 1731681957921696649, 
-8.784507751464844, 4.851146697998047, -0.09071376307306282, 1731681958012778800, 
-8.761959075927734, 4.848903656005859, -0.1389119053543943, 1731681958112315812, 
-8.742002487182617, 4.846138000488281, -0.18313099274575204, 1731681958202642194, 
-8.7153902053833, 4.8409576416015625, -0.23072570190223013, 1731681958321760060, 
-8.696577072143555, 4.8364763259887695, -0.2660505985822166, 1731681958413954727, 
-8.68010425567627, 4.832086086273193, -0.29898557871042963, 1731681958511980189, 
-8.65750789642334, 4.824891567230225, -0.3289339317707518, 1731681958622105408, 
-8.633829116821289, 4.816636085510254, -0.35971374676018586, 1731681958723085390, 
-8.614057540893555, 4.808925151824951, -0.38136929897222344, 1731681958811841979, 
-8.59160041809082, 4.7997050285339355, -0.40237307089651103, 1731681958912186091, 
-8.567503929138184, 4.789130687713623, -0.42529442565331343, 1731681959022580429, 
-8.548238754272461, 4.780122756958008, -0.4447986042813261, 1731681959122040504, 
-8.534954071044922, 4.773858547210693, -0.4622991121773265, 1731681959212026591, 
-8.522937774658203, 4.7678985595703125, -0.47798849938961546, 1731681959312480148, 
-8.513038635253906, 4.762835502624512, -0.4940627272569567, 1731681959401759692, 
-8.498722076416016, 4.7550578117370605, -0.5133707750471381, 1731681959522600356, 
-8.487170219421387, 4.748386859893799, -0.5280928507865442, 1731681959612370075, 
-8.473917961120605, 4.740738391876221, -0.5450660880203142, 1731681959711713442, 
-8.458860397338867, 4.731357097625732, -0.558818079712976, 1731681959822589635, 
-8.443967819213867, 4.721870422363281, -0.5727707301497227, 1731681959921805405, 
-8.431447982788086, 4.7135725021362305, -0.5801965736114358, 1731681960011820331, 
-8.417264938354492, 4.704085826873779, -0.5935206734274768, 1731681960111923466, 
-8.404740333557129, 4.695553302764893, -0.604225679660314, 1731681960201849654, 
-8.389039039611816, 4.684614658355713, -0.6188506636058289, 1731681960322003221, 
-8.378253936767578, 4.6765947341918945, -0.6279312294555083, 1731681960411934928, 
-8.366767883300781, 4.668144702911377, -0.6404909824912315, 1731681960512079348, 
-8.354507446289062, 4.658902168273926, -0.6509429463854608, 1731681960622104917, 
-8.344090461730957, 4.650771141052246, -0.6587911299969774, 1731681960723614106, 
-8.334819793701172, 4.643454074859619, -0.6662576060045112, 1731681960813208456, 
-8.324735641479492, 4.635455131530762, -0.6732689055406581, 1731681960912234460, 
-8.315343856811523, 4.6277546882629395, -0.6798501694629452, 1731681961001874064, 
-8.303004264831543, 4.617687702178955, -0.6900035615924264, 1731681961122343520, 
-8.294392585754395, 4.610445022583008, -0.69530206628557, 1731681961212262775, 
-8.284924507141113, 4.6023993492126465, -0.7017341205433458, 1731681961311772269, 
-8.276673316955566, 4.595336437225342, -0.7057968771771621, 1731681961403349849, 
-8.266047477722168, 4.586122989654541, -0.7109455592250855, 1731681961521814625, 
-8.258475303649902, 4.579509258270264, -0.7156105075621314, 1731681961611862010, 
-8.25064468383789, 4.572795391082764, -0.7184052241005968, 1731681961711866104, 
-8.243072509765625, 4.565952301025391, -0.7217873031732562, 1731681961802991037, 
-8.23255443572998, 4.556538105010986, -0.7274917778481748, 1731681961921925977, 
-8.22502326965332, 4.549770832061768, -0.7310107427332005, 1731681962012766490, 
-8.217016220092773, 4.542632102966309, -0.7351138142964405, 1731681962111698277, 
-8.209863662719727, 4.5361175537109375, -0.7386615523943783, 1731681962203369908, 
-8.20068359375, 4.527710437774658, -0.7433113441178437, 1731681962322766380, 
-8.194846153259277, 4.522190570831299, -0.7433108847001091, 1731681962411744989, 
