imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.0003928542137145996, -0.01583266258239746, -0.00029439573870632715, 4.445884020870119e-12, -4.898431592451364e-06, -9.076137814645335e-07, 9.796863184902737e-07, 0.0, 1731681954861945553, 
-0.00962686538696289, -0.023129403591156006, -0.006228654282296514, 3.095812360128379e-11, -0.00012001934819897863, -2.5794277394307033e-07, 1.9709605272955766e-05, -2.60089609380285e-13, 1731681954911739255, 
-0.013310015201568604, -0.0034899115562438965, -0.010613341611735324, -5.793361921091462e-11, -0.0003573066096486265, 1.6213979155853356e-07, 4.8627467734881216e-05, -1.7236635422499788e-12, 1731681955121718470, 
-0.01590031385421753, -0.013049781322479248, -0.013866156392357776, 1.2621270375732707e-08, -0.0006002990599539084, -2.1024971081416956e-05, 7.493739844984559e-05, -3.5970892829610313e-12, 1731681955212750610, 
0.742091953754425, -0.3655535578727722, 0.45359443340764494, -0.007591119163468698, 0.03352415484444776, -0.22643730166178766, 0.0008731805730354161, -1.168776671232693e-09, 1731681955311666553, 
1.1433851718902588, -0.03557312488555908, 0.8797820472486371, -0.046757617583418266, 0.09218143059669764, -0.5072346705920329, 0.003847637561487047, -4.80311148839955e-05, 1731681955402347679, 
0.13440316915512085, -0.16521406173706055, 0.4191731706370106, -0.1141912495891227, 0.1608430791049082, -0.7099543867513421, 0.01311069688741797, -0.0005321085892193819, 1731681955471832178, 
0.58424311876297, -0.4815417528152466, 0.5227690231161854, -0.2879558164953, 0.2956727319710993, -0.9739004830633027, 0.03365694965028023, -0.002814167908097968, 1731681955561933792, 
0.43907392024993896, -0.43934166431427, 0.4706202587262279, -0.40099595508151337, 0.31811419427660065, -1.260540907309678, 0.060481416459320675, -0.008441149075362591, 1731681955711834717, 
-0.21087610721588135, -0.8938506245613098, 0.05205638824013653, -0.6793831090357385, 0.4795167282731786, -1.4168079422011257, 0.09515984648142317, -0.019603068452680814, 1731681955801679367, 
-0.22962617874145508, -0.4634484052658081, -0.12449243697237339, -0.48822501284342856, 0.3523711026844205, -1.3855421432803394, 0.13468390805730865, -0.0391133196052427, 1731681955921698584, 
0.03821980953216553, -1.2356107234954834, -0.018410592120870456, -0.8334957614161098, 0.6231942216462791, -1.3374574610372374, 0.1713008608318544, -0.06339088570577472, 1731681956011758939, 
-0.06129485368728638, -0.5382199287414551, -0.048028818217105716, -0.5423006821419247, 0.4722223816411205, -1.1484010568437273, 0.216174580927195, -0.10337970726845333, 1731681956112648514, 
-0.06759750843048096, -0.2905774712562561, -0.06222963482734872, -0.3667099086164057, 0.369704502979457, -0.9919000327588173, 0.2467439807593297, -0.13821172876262075, 1731681956201696547, 
-0.7015784382820129, -0.927326500415802, -0.4531532811958171, -0.5454550198892416, 0.5627489609318176, -0.9692688174600267, 0.27260239468183267, -0.17446639370960756, 1731681956321706839, 
0.5070126056671143, -0.14004355669021606, 0.13644524530291535, -0.29467295983837466, 0.35146871959149223, -0.8384045105944831, 0.29752731326270376, -0.218637599971003, 1731681956412684651, 
