path_x, path_y, path, index, 
-0.040000000000000036, 0.0, 0, 0, 
0.010000000000000675, 0.04999999999999982, 1, 1, 
0.0600000000000005, 0.10000000000000053, 2, 2, 
0.11000000000000032, 0.15000000000000036, 3, 3, 
0.16000000000000014, 0.15000000000000036, 4, 4, 
0.21000000000000085, 0.15000000000000036, 5, 5, 
0.2600000000000007, 0.15000000000000036, 6, 6, 
0.3100000000000005, 0.15000000000000036, 7, 7, 
0.3600000000000003, 0.15000000000000036, 8, 8, 
0.41000000000000014, 0.15000000000000036, 9, 9, 
0.46000000000000085, 0.15000000000000036, 10, 10, 
0.5100000000000007, 0.15000000000000036, 11, 11, 
0.5600000000000005, 0.20000000000000018, 12, 12, 
0.6100000000000003, 0.25, 13, 13, 
0.6600000000000001, 0.2999999999999998, 14, 14, 
0.7100000000000009, 0.35000000000000053, 15, 15, 
0.7600000000000007, 0.40000000000000036, 16, 16, 
0.8100000000000005, 0.4500000000000002, 17, 17, 
0.8600000000000003, 0.5, 18, 18, 
0.9100000000000001, 0.5499999999999998, 19, 19, 
0.9600000000000009, 0.6000000000000005, 20, 20, 
0.9600000000000009, 0.6500000000000004, 21, 21, 
0.9100000000000001, 0.7000000000000002, 22, 22, 
0.8600000000000003, 0.75, 23, 23, 
0.8100000000000005, 0.7999999999999998, 24, 24, 
0.7600000000000007, 0.8500000000000005, 25, 25, 
0.7600000000000007, 0.9000000000000004, 26, 26, 
0.7600000000000007, 0.9500000000000002, 27, 27, 
0.7600000000000007, 1.0, 28, 28, 
0.7600000000000007, 1.0499999999999998, 29, 29, 
0.7600000000000007, 1.1000000000000005, 30, 30, 
0.7600000000000007, 1.1500000000000004, 31, 31, 
0.7600000000000007, 1.2000000000000002, 32, 32, 
0.7600000000000007, 1.25, 33, 33, 
0.7600000000000007, 1.2999999999999998, 34, 34, 
0.7600000000000007, 1.3500000000000005, 35, 35, 
0.7600000000000007, 1.4000000000000004, 36, 36, 
0.7600000000000007, 1.4500000000000002, 37, 37, 
0.7600000000000007, 1.5, 38, 38, 
0.7600000000000007, 1.5499999999999998, 39, 39, 
0.7600000000000007, 1.6000000000000005, 40, 40, 
0.7600000000000007, 1.6500000000000004, 41, 41, 
0.7600000000000007, 1.7000000000000002, 42, 42, 
0.8100000000000005, 1.75, 43, 43, 
0.8600000000000003, 1.7999999999999998, 44, 44, 
0.9100000000000001, 1.8500000000000005, 45, 45, 
0.9600000000000009, 1.8999999999999995, 46, 46, 
1.0100000000000007, 1.9500000000000002, 47, 47, 
1.0600000000000005, 1.9500000000000002, 48, 48, 
1.1100000000000003, 1.9500000000000002, 49, 49, 
1.1600000000000001, 1.9500000000000002, 50, 50, 
1.2100000000000009, 1.9500000000000002, 51, 51, 
1.2600000000000007, 1.9500000000000002, 52, 52, 
1.3100000000000005, 1.9500000000000002, 53, 53, 
1.3600000000000003, 1.9500000000000002, 54, 54, 
1.4100000000000001, 2.000000000000001, 55, 55, 
1.4600000000000009, 2.05, 56, 56, 
1.5100000000000007, 2.1000000000000005, 57, 57, 
1.5600000000000005, 2.1499999999999995, 58, 58, 
1.6100000000000003, 2.2, 59, 59, 
1.6100000000000003, 2.250000000000001, 60, 60, 
1.6100000000000003, 2.3, 61, 61, 
1.6100000000000003, 2.3500000000000005, 62, 62, 
1.6100000000000003, 2.3999999999999995, 63, 63, 
1.6100000000000003, 2.45, 64, 64, 
1.6100000000000003, 2.500000000000001, 65, 65, 
1.6100000000000003, 2.55, 66, 66, 
1.6100000000000003, 2.6000000000000005, 67, 67, 
