e, e_dot, e_int, stamp, 
0.9381470197835773, 1.4146694127248338e-06, 0.18762934736993894, 1732894337339836778, 
0.9381472320443645, 2.1222053699550734e-06, 0.18762938981404634, 1732894337431321353, 
0.9381474441921162, 1.4146951295609018e-06, 0.1876294464013372, 1732894337539748924, 
0.938147585842208, 1.1793261452582489e-06, 0.18762948413857924, 1732894337700462782, 
0.9381475859877265, 4.7265203454808596e-07, 0.18762950773480339, 1732894337779758820, 
0.9381482935030546, 2.358869488627846e-06, 0.18762956435553263, 1732894337900410806, 
0.9381482936776768, 2.358966501025961e-06, 0.18762961154456387, 1732894337988780066, 
0.9314545531494748, -0.02231246784526612, 0.18718340935534708, 1732894338089790796, 
0.7307984193169172, -0.6911662478691986, 0.17336008440960457, 1732894338200433950, 
0.7208378799338442, -0.7020555773854352, 0.15887272349334905, 1732894338280163825, 
0.6994822656767496, -0.10438717880055866, 0.14340790432850076, 1732894338389462062, 
0.6794858186065964, -0.13784020442415926, 0.13998706428114602, 1732894338489917665, 
0.6611820080324757, -0.12766752548091306, 0.13601000615438813, 1732894338580659010, 
0.64173551562086, -0.12583434328578816, 0.1321602228173288, 1732894338696350071, 
0.623646594220905, -0.12511804603856924, 0.1284376078582827, 1732894338792748333, 
0.6071693522956395, -0.11522054441740148, 0.12483676414249363, 1732894338885922394, 
0.5908769550427984, -0.10923213059368868, 0.12144619343728952, 1732894338995340954, 
0.3171681551440281, -0.9666706571720379, 0.10101429749883106, 1732894339099450672, 
0.28684657573694505, -1.0134345976861776, 0.07965944572825143, 1732894339189749949, 
0.25367564553339295, -0.2116416987021171, 0.0571793584276244, 1732894339290212029, 
0.22380767667930146, -0.21012966352547865, 0.05095532652997596, 1732894339380474188, 
0.18198809921368453, -0.2389584877323614, 0.04396476142842526, 1732894339501052837, 
0.15674483630403668, -0.22354280125088258, 0.037502707479801514, 1732894339589779965, 
0.1515250507431677, -0.1015434949017228, 0.032683865750725925, 1732894339689947880, 
0.15297843032979908, -0.012554686580792026, 0.030749887825133562, 1732894339780133130, 
0.1521285689661237, 0.0020117274098533735, 0.030442136669272698, 1732894339896347039, 
0.1518498532979754, -0.003761923439412248, 0.030463790172926546, 1732894339989906480, 
0.1518900182099071, -0.0007951691873886446, 0.030391229364933745, 1732894340090926956, 
0.15188185899879747, 0.00010668566940689554, 0.030374782033778663, 1732894340180576677, 
0.15190657383986395, 5.518543318946042e-05, 0.030378563403237902, 1732894340279658945, 
0.15188267599894134, 2.7233338129040163e-06, 0.03037807392250685, 1732894340389921957, 
0.1509387915744166, -0.0032259408848245297, 0.030315202760881458, 1732894340486942102, 
0.14546243572142137, -0.021400800925066576, 0.029885593552985285, 1732894340579992331, 
-0.3218385636209924, -1.5759245173180298, -0.0016958224216769623, 1732894340679762660, 
-0.35378129181046825, -1.6641457584396318, -0.03534382798066928, 1732894340789833000, 
-0.389160583115632, -0.22440673164879874, -0.07098536256980618, 1732894340888225987, 
-0.4136651260315327, -0.19961278073688157, -0.07710713339717554, 1732894340981142468, 
-0.4156418824750509, -0.08827099786472965, -0.08123117277481437, 1732894341099324069, 
-0.4244103564364463, -0.035817434683045324, -0.08358115766286867, 1732894341190890819, 
-0.46884660434749487, -0.17734907290814653, -0.0872599228839328, 1732894341289946352, 
-0.5246160980393758, -0.3340191386764317, -0.09452487058822114, 1732894341400255894, 
-0.6553003369950471, -0.6215124421585073, -0.10991753595879453, 1732894341500036122, 
-0.6978337419966579, -0.5773921465242737, -0.12518334513540538, 1732894341590850879, 
-0.734849708370185, -0.26516457125045984, -0.13919891915745933, 1732894341690652404, 
-0.7273794651837159, -0.09848574395685983, -0.14400419437003725, 1732894341780421519, 
-0.7267066369488835, 0.027143571404338502, -0.14592905403351894, 1732894341880031041, 
-0.7285733525524642, -0.003979624562494566, -0.1455106303123376, 1732894341991385808, 
-0.7356714291732003, -0.029882640747722622, -0.14606342791163654, 1732894342099931542, 
-0.7299090847310873, -0.00445244059541013, -0.14627692443045012, 1732894342180234509, 
-0.6806628079480086, 0.18336207075063893, -0.1430828881234864, 1732894342300299294, 
-0.6536339892573659, 0.25425031824573785, -0.13761372546243078, 1732894342390569169, 
-0.6217307368398375, 0.19644023702723704, -0.13040183560301413, 1732894342490077559, 
