odom_x, odom_y, odom_th, stamp, 
-1.4547845239576418e-05, 1.6817382856970653e-05, -0.00016569685836884747, 1732894318580018859, 
-1.4589705642720219e-05, 1.68657825270202e-05, -0.00016617372202617478, 1732894318630023755, 
-1.465249624743592e-05, 1.6938382032094523e-05, -0.0001668889255936076, 1732894318698288799, 
-1.467342644900782e-05, 1.6962581867119297e-05, -0.0001671272875755981, 1732894318738392258, 
-1.4715286852151621e-05, 1.7010981537168846e-05, -0.00016760409102446375, 1732894318789473006, 
-1.4757147255295422e-05, 1.7059381207218394e-05, -0.00016808083438608069, 1732894318838359912, 
-1.4799007658439223e-05, 1.7107780877267942e-05, -0.0001685576285161197, 1732894318889137135, 
-1.4840868061583024e-05, 1.715618054731749e-05, -0.00016903447502243998, 1732894318938529392, 
-1.4882728464726824e-05, 1.7204580217367038e-05, -0.00016951126980480275, 1732894318998162797, 
-1.4903658666298725e-05, 1.7228780052391812e-05, -0.00016974962684874556, 1732894319028776553, 
-1.4945519069442526e-05, 1.727717972244136e-05, -0.00017022641696984534, 1732894319097716322, 
-1.4987379472586326e-05, 1.732557939249091e-05, -0.00017070321803692897, 1732894319138655638, 
-1.5029239875730127e-05, 1.7373979062540457e-05, -0.00017118003343265175, 1732894319189548669, 
-1.5092029570951127e-05, 1.7446576748625375e-05, -0.00017189515797245777, 1732894319299096104, 
-1.5196680578810629e-05, 1.7567575923749246e-05, -0.00017308714339572798, 1732894319398664467, 
-1.528040047560353e-05, 1.7664375263848342e-05, -0.0001740407157197876, 1732894319499332342, 
-1.528040047560353e-05, 1.7664375263848342e-05, -0.00017404062840869293, 1732894319590592268, 
-1.528040047560353e-05, 1.7664375263848342e-05, -0.00017404054109759827, 1732894319688907126, 
-1.528040047560353e-05, 1.7664375263848342e-05, -0.0001740404392346545, 1732894319799378715, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713962487776245, 1732894319898812603, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.0001771394502555885, 1732894319989537574, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713927563341454, 1732894320093506290, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713907190754493, 1732894320199445629, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713889728537097, 1732894320299102311, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713872266319702, 1732894320389315009, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713854804102307, 1732894320489619075, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713837341884912, 1732894320580150301, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713816969297953, 1732894320699403055, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713799507080557, 1732894320789586706, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713782044863162, 1732894320889568263, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713761672276203, 1732894320998146122, 
-1.5552490367554128e-05, 1.7978969481191598e-05, -0.00017713744210058808, 1732894321099386838, 
