odom_x, odom_y, odom_th, stamp, 
4.186870228295447e-08, -4.8391481044518514e-08, 4.768551753745216e-07, 1732895402726146391, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.384340906820374e-07, 1732895402866191354, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.3843090746521776e-07, 1732895402915436453, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.38428633738918e-07, 1732895402965136319, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.3842499577683843e-07, 1732895403026958207, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.3842181256001874e-07, 1732895403076088527, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.38419538833719e-07, 1732895403125135551, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.384163556168994e-07, 1732895403176092905, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.3841408189059965e-07, 1732895403226103389, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.3841226290955986e-07, 1732895403255195325, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.3840907969274023e-07, 1732895403315490411, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.3840544173066063e-07, 1732895403386443973, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.3840362274962082e-07, 1732895403415628561, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.3839771106124151e-07, 1732895403525137454, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.3839452784442188e-07, 1732895403575281001, 
2.0934377786829828e-08, -2.4195651704417287e-08, 2.3838907090130247e-07, 1732895403666110691, 
4.186870228295447e-08, -4.83914668336638e-08, 4.768142618730652e-07, 1732895403785859297, 
4.186870228295447e-08, -4.83914668336638e-08, 4.768306327066717e-07, 1732895403925189240, 
4.186870228295447e-08, -4.83914668336638e-08, 4.768360896512072e-07, 1732895403975146245, 
4.186870228295447e-08, -4.83914668336638e-08, 4.768470035402782e-07, 1732895404065113523, 
