x, y, th, stamp, 
-2.3967032432556152, 4.02267599105835, 3.137838363269033, 1731679429728285633, 
-2.3967032432556152, 4.02267599105835, 3.13783836332995, 1731679429778349586, 
-2.3967032432556152, 4.02267599105835, 3.1378383634583473, 1731679429827883169, 
-2.3967032432556152, 4.02267599105835, 3.1378383634805873, 1731679429887538392, 
-2.3967032432556152, 4.02267599105835, 3.137838363557184, 1731679429938530661, 
-2.3967032432556152, 4.02267599105835, 3.137838363231161, 1731679429988323985, 
-2.3967032432556152, 4.02267599105835, 3.1378383633695885, 1731679430178290301, 
-2.3967032432556152, 4.02267599105835, 3.137838363152792, 1731679430288327723, 
-2.3967032432556152, 4.02267599105835, 3.1378383631240183, 1731679430388325180, 
-2.3967032432556152, 4.02267599105835, 3.137838363244037, 1731679430478254393, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679430584286045, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679430692666626, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679430783334434, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679430883258816, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679430984374865, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679431093345932, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679431143879251, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679431283273273, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679431333303418, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679431384385344, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679431583339784, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679431683480196, 
-2.3967032432556152, 4.02267599105835, 3.1378383632209346, 1731679431732329037, 
-2.3967032432556152, 4.02267599105835, 3.1378378862431924, 1731679432083272679, 
-2.3967032432556152, 4.02267599105835, 3.137837886341358, 1731679432178449317, 
-2.3967032432556152, 4.02267599105835, 3.137837886247202, 1731679432293624028, 
-2.3967032432556152, 4.02267599105835, 3.1378378863293395, 1731679432338338670, 
-2.3967032432556152, 4.02267599105835, 3.1378378864916083, 1731679432433317309, 
-2.3967032432556152, 4.02267599105835, 3.137837886592741, 1731679432533417074, 
-2.3967032432556152, 4.02267599105835, 3.1378378865302277, 1731679432692932573, 
-2.3967032432556152, 4.02267599105835, 3.1378381250294565, 1731679432783559097, 
-2.397467613220215, 4.0225934982299805, -3.1108145706651893, 1731679432883282130, 
-2.399609088897705, 4.021530628204346, -3.0084824639796457, 1731679432979414924, 
-2.403829574584961, 4.0205607414245605, -2.884671153528891, 1731679433092734663, 
-2.4086575508117676, 4.019306659698486, -2.792434498364972, 1731679433183362923, 
