e, e_dot, e_int, stamp, 
0.6860495517860062, 1.3678634165817352e-06, 0.06929010153841628, 1729864308123477325, 
0.6829725887190711, -0.017241720368875602, 0.07563407542454079, 1729864308182959382, 
0.6778550402110841, -0.06300538464842287, 0.06601749713626083, 1729864308220235691, 
0.6685194558428704, -0.09490076234454525, 0.06805397184662579, 1729864308283564112, 
0.6603683588222371, -0.10702287002039203, 0.07375941026194408, 1729864308330503048, 
0.6488644679485028, -0.13454573671713058, 0.0639205140538144, 1729864308380523445, 
0.6220059274334835, -0.1740512325215463, 0.09137866992414619, 1729864308472451323, 
0.5878624178051175, -0.21335053596440678, 0.11776603781505086, 1729864308570598162, 
0.5462978762359323, -0.2392912585634833, 0.12321607998994334, 1729864308682937230, 
0.5114140981287061, -0.2425085620933006, 0.11513910688175805, 1729864308780505002, 
0.47633770428062333, -0.24633840233079715, 0.09690879352046887, 1729864308872452853, 
0.43466280658156364, -0.25293427069162444, 0.09596423474271491, 1729864308982902181, 
0.2985884158886291, -0.5811010534605862, 0.08469778744538857, 1729864309082518733, 
0.2618945033871329, -0.5815092820640034, 0.06519874723780239, 1729864309179452532, 
0.22727900768442383, -0.25008028256395104, 0.04990803402546567, 1729864309272581361, 
0.19196299837378294, -0.2404827648336526, 0.044070170386022824, 1729864309373555343, 
0.15895385629253167, -0.21748805653575423, 0.04047740908348314, 1729864309482600552, 
0.1356338803412358, -0.1819052859620859, 0.0332492743701113, 1729864309578565460, 
0.11876124765221174, -0.14068581399277594, 0.026206042735242834, 1729864309672798499, 
0.1027432263593242, -0.10840707976170395, 0.024263817058683846, 1729864309782384093, 
0.09038387754786392, -0.08987819590549338, 0.021799875055192118, 1729864309882487719, 
0.08037797898086352, -0.07585524105642984, 0.017889202022148814, 1729864309978605697, 
0.07176151278251686, -0.06525229453777094, 0.015369999856269951, 1729864310072613725, 
0.06261318434985863, -0.05815809060104923, 0.014636944818764975, 1729864310183077349, 
-0.0683428912075622, -0.4647948751187856, 0.004629064096282852, 1729864310282924379, 
-0.07825328493916583, -0.4699193667298134, -0.00562061057611238, 1729864310383854094, 
-0.08569255894515726, -0.060546785086863786, -0.014717576546616274, 1729864310473001309, 
-0.09251984641898348, -0.05072793264383818, -0.01611251110756589, 1729864310572329727, 
-0.10373643905943086, -0.05685051383232561, -0.01968873187981433, 1729864310682493906, 
-0.10398853513955797, -0.034776282874043184, -0.02107010843598041, 1729864310782859005, 
-0.10202799423664932, 0.006430827143981563, -0.019646654962770963, 1729864310872774455, 
-0.09820465848133186, 0.02001887359715555, -0.01925373327265478, 1729864310972724807, 
-0.09031680562837507, 0.03677102600392346, -0.020281469645792468, 1729864311082185993, 
-0.08547429725641076, 0.03992691692034974, -0.01926543501671705, 1729864311183663490, 
-0.07959412445811165, 0.03789531731548724, -0.016226925280148317, 1729864311272803032, 
-0.1919991686267572, -0.3191865353622463, -0.023680838995468113, 1729864311382624468, 
-0.18926377094461666, -0.3320913403308468, -0.03229032210287657, 1729864311483000453, 
