e, e_dot, e_int, stamp, 
0.9179481574321378, 0.011399971862083117, 0.18313363261194424, 1732892637161117956, 
0.917875088635137, 0.011156409205413942, 0.1833567607960525, 1732892637253289936, 
0.9173226964113542, -0.0020848700692784514, 0.18354306283190858, 1732892637361142095, 
0.9172710178624371, -0.002013569242332869, 0.18349792019392858, 1732892637460815914, 
0.9173829603827768, 0.00020087990474186115, 0.1834651116437712, 1732892637561154091, 
0.9174289904329553, 0.0005265752350606482, 0.18347219791187797, 1732892637652168687, 
0.9172421119253018, -0.00046949485824991183, 0.18347027084940226, 1732892637761943599, 
0.9143647980229472, -0.010213974700027014, 0.18326906002541363, 1732892637860808169, 
0.9069271243199631, -0.03438329201779555, 0.18256893561788082, 1732892637961863465, 
0.8978853084391704, -0.05493163194592291, 0.1812784820521387, 1732892638072436299, 
0.6847867545982157, -0.7404678990724914, 0.16597327915715662, 1732892638162686149, 
0.6530228816846955, -0.8162080891815829, 0.14904632964813877, 1732892638260829155, 
0.6139795687367425, -0.2360239528715772, 0.1301192803346436, 1732892638361864238, 
0.5907671575594595, -0.20751908041745315, 0.1238513071987265, 1732892638471077196, 
0.5646706416235874, -0.16436309037718386, 0.11796115786131929, 1732892638561208483, 
0.5425531979946445, -0.16071319854938335, 0.1131993998118461, 1732892638660986334, 
0.5099884326305635, -0.18227402997674633, 0.10781415148325302, 1732892638761944919, 
0.4820401342652706, -0.20171021243124643, 0.10230545099269858, 1732892638851955244, 
0.4437964054965347, -0.22064009044676258, 0.09572166482615792, 1732892638961542643, 
0.4114316811347979, -0.23536151043490902, 0.0891512147264402, 1732892639061845311, 
0.3787486759562646, -0.21682576513423368, 0.08226511750583981, 1732892639156989467, 
0.3538681977990048, -0.19187827778597696, 0.07626990365933782, 1732892639250742483, 
0.08579644081326754, -0.9765074504766568, 0.05456088763790246, 1732892639361879099, 
0.045839124317776814, -1.0267635782707598, 0.03236691752866994, 1732892639460837093, 
0.006294276865293824, -0.2650072131599124, 0.009195322799755878, 1732892639558233654, 
-0.02823894173557262, -0.24692688684449812, 0.0015929639631665346, 1732892639652287881, 
-0.06465144282044566, -0.23648573228579828, -0.005773073846048297, 1732892639761891876, 
-0.10403837328757282, -0.25266477184000063, -0.013128583856239407, 1732892639861883874, 
-0.14296019165983542, -0.2610291627979659, -0.020776667184523593, 1732892639958952356, 
-0.4089982778881668, -1.0165330153353132, -0.043733122855705, 1732892640069427861, 
-0.572792026234232, -1.432772781914655, -0.07498336638548227, 1732892640162479623, 
-0.6049014818812923, -0.6530106799770852, -0.10577945240024607, 1732892640261842786, 
-0.6353089923267445, -0.20838988697504188, -0.12086683336281794, 1732892640360022000, 
-0.6669723314810382, -0.20690283199915283, -0.12714552037927168, 1732892640451767889, 
-0.6988317833844003, -0.21174263685885264, -0.13340754047947886, 1732892640562207839, 
-0.7339873560190473, -0.22338341512669704, -0.13998609805896572, 1732892640663040575, 
-0.7693515476173337, -0.2350658807764446, -0.14681137913471876, 1732892640760701137, 
-0.8151501841535765, -0.2705427604484308, -0.15456593918599718, 1732892640852879363, 
-0.836897836488027, -0.22515429623564417, -0.16142663788392916, 1732892640962255674, 
-0.8312912614848287, -0.0538035911041738, -0.16555595214176216, 1732892641060868229, 
-0.8326471585409246, 0.014168926490341072, -0.16672241710091867, 1732892641161890940, 
-0.8268915070816634, 0.014665848010551041, -0.16605532847382776, 1732892641271705810, 
-0.8274966821331684, 0.017168254692520774, -0.16580235651705041, 1732892641362276083, 
-0.8309623913481563, -0.01356961422164312, -0.1656900387041992, 1732892641461849290, 
-0.7444051849084037, 0.2769716574158824, -0.16019095055931523, 1732892641562385597, 
-0.700982726455633, 0.4332655496417444, -0.15175668684747953, 1732892641652913579, 
-0.6489429376673008, 0.3182074908036762, -0.13962205660208915, 1732892641762100746, 
-0.4953907425927607, 0.6853066128762407, -0.1230210937810463, 1732892641861877119, 
-0.4503191733827539, 0.6620792142818231, -0.10631019024285436, 1732892641962021550, 
-0.3891520229499103, 0.3541290654761681, -0.08899079592836166, 1732892642072522536, 
-0.2977297138365098, 0.5086315318208136, -0.07581339401127826, 1732892642162625733, 
-0.20334201512221972, 0.6193666927589686, -0.05934825012724266, 1732892642261884125, 
-0.011736767972233608, 0.9533098195475874, -0.03418723312873088, 1732892642362044689, 
0.047436710873412835, 0.8359290866521084, -0.011176138148069366, 1732892642452368222, 
0.09499524847613061, 0.3557733881612141, 0.008713012758487322, 1732892642563504007, 
0.14485780479430888, 0.32473697973632015, 0.01915265094292349, 1732892642661892989, 
0.19432790792196952, 0.33110886481946306, 0.028945397412827267, 1732892642762040871, 
0.6106154146736759, 1.5525253662645564, 0.06332007515933029, 1732892642871668198, 
0.6470422646358367, 1.5090478557128904, 0.09679903914876548, 1732892642962363432, 
0.6685912536503507, 0.193252796588916, 0.12841659553065754, 1732892643061888159, 
0.6957106792230453, 0.1622280486240287, 0.13408961316728218, 1732892643162050935, 
0.7256330308832422, 0.19013925744297167, 0.1393289975837759, 1732892643257455023, 
0.7587606443108136, 0.21016655029256093, 0.1453402902944734, 1732892643361702382, 
0.8009307362421132, 0.2509923511962368, 0.15235496076241126, 1732892643462136958, 
1.0003257038031261, 0.8052168649743751, 0.17066780562373687, 1732892643563062627, 
1.0198849456219912, 0.7298473645995932, 0.18807609237781536, 1732892643651731294, 
1.0150635849450533, 0.04912627047309067, 0.20235161562467804, 1732892643761816402, 
1.0054822219013755, -0.04800907906871895, 0.20269538349789465, 1732892643861882200, 
1.0034320520848476, -0.038771776200685615, 0.20159852392875177, 1732892643958080594, 
0.9802702470876413, -0.08403991604578054, 0.19927896807159096, 1732892644072056051, 
0.9682568914628629, -0.11725053540661594, 0.19679727937569014, 1732892644162543853, 
0.9489481597864751, -0.10440695767055419, 0.19316501988913193, 1732892644262256729, 
0.9192614026398644, -0.1633182960766614, 0.1890977635926135, 1732892644359091583, 
0.8977854236960753, -0.17054245363466594, 0.18439966574149433, 1732892644452234018, 
0.8818050131051595, -0.12485463178234994, 0.17992345596273995, 1732892644562356978, 
0.8648870000369491, -0.10966141219708736, 0.17629849578921225, 1732892644662075667, 
0.8401591407037087, -0.13881957467150263, 0.17245674358972116, 1732892644760277988, 
0.8234834143026246, -0.1380119524477482, 0.1685686370028855, 1732892644869662210, 
0.8099977658127524, -0.10053791630318758, 0.16490935472127238, 1732892644962255211, 
0.7975411093326423, -0.08647434989994096, 0.16206815262986796, 1732892645062940153, 
0.7005538689801533, -0.36481298944199714, 0.15387284960836986, 1732892645160638973, 
0.6721428961677733, -0.4179940438828966, 0.14468252496537126, 1732892645253531302, 
0.651791919329755, -0.1625398321679942, 0.1349659122985121, 1732892645362147697, 
0.6397960527107207, -0.10782281152350877, 0.13091539121388326, 1732892645462467071, 
0.622594054067557, -0.0973262175406601, 0.12761213507386884, 1732892645562461367, 
