odom_x, odom_y, odom_th, stamp, 
1.6044046878814697, 2.6043264865875244, 1.6363940246072206, 1732894587794375951, 
1.6044046878814697, 2.6043264865875244, 1.6363941920884844, 1732894587844333831, 
1.6044046878814697, 2.6043264865875244, 1.6363940378592996, 1732894587992109771, 
1.6044046878814697, 2.6043264865875244, 1.6363940452022845, 1732894588034147586, 
1.6044046878814697, 2.6043264865875244, 1.6363942449260052, 1732894588102183018, 
1.6044046878814697, 2.6043264865875244, 1.63639426237674, 1732894588152199312, 
1.6044046878814697, 2.6043264865875244, 1.6363942641073672, 1732894588194127115, 
1.6044046878814697, 2.6043264865875244, 1.6363941139528586, 1732894588244131479, 
1.6044046878814697, 2.6043264865875244, 1.6363937862853488, 1732894588296061431, 
1.6044046878814697, 2.6043264865875244, 1.6363938352171756, 1732894588343264671, 
1.6044046878814697, 2.6043264865875244, 1.6363940361323286, 1732894588435331581, 
1.6044046878814697, 2.6043264865875244, 1.6363938976071521, 1732894588504509322, 
1.6044046878814697, 2.6043264865875244, 1.6363937269530229, 1732894588594277729, 
1.6044046878814697, 2.6043264865875244, 1.6363933794265708, 1732894588645142880, 
1.6044046878814697, 2.6043264865875244, 1.6363935315749174, 1732894588804881227, 
1.6044046878814697, 2.6043264865875244, 1.636393529923928, 1732894588904116115, 
1.6044046878814697, 2.6043264865875244, 1.6363935342975007, 1732894588994247547, 
1.6044046878814697, 2.6043264865875244, 1.6363937081424247, 1732894589045268990, 
1.6044046878814697, 2.6043264865875244, 1.6363935681942743, 1732894589204842927, 
1.6044046878814697, 2.6043264865875244, 1.6363935681942743, 1732894589234157932, 
1.6044046878814697, 2.6043264865875244, 1.6363935681942743, 1732894589394367959, 
1.6044046878814697, 2.6043264865875244, 1.6363935681942743, 1732894589444120722, 
1.6044046878814697, 2.6043264865875244, 1.6363935681942743, 1732894589544040030, 
1.6044046878814697, 2.6043264865875244, 1.6363930524717567, 1732894589704313766, 
1.6044046878814697, 2.6043264865875244, 1.6363930524717567, 1732894589793789090, 
1.6044046878814697, 2.6043264865875244, 1.6363930524717567, 1732894589843772218, 
1.6044046878814697, 2.6043264865875244, 1.6363930524717567, 1732894590004416226, 
1.6044046878814697, 2.6043264865875244, 1.6363930524717567, 1732894590103800463, 
1.6044046878814697, 2.6043264865875244, 1.6363930524717567, 1732894590195314462, 
