path_x, path_y, path, index, 
1.5600000000000005, 2.6000000000000005, 0, 0, 
1.6100000000000003, 2.55, 1, 1, 
1.6600000000000001, 2.500000000000001, 2, 2, 
1.7100000000000009, 2.45, 3, 3, 
1.7600000000000007, 2.3999999999999995, 4, 4, 
1.8100000000000005, 2.3500000000000005, 5, 5, 
1.8100000000000005, 2.3, 6, 6, 
1.8100000000000005, 2.250000000000001, 7, 7, 
1.8100000000000005, 2.2, 8, 8, 
1.8100000000000005, 2.1499999999999995, 9, 9, 
1.8100000000000005, 2.1000000000000005, 10, 10, 
1.8100000000000005, 2.05, 11, 11, 
1.8100000000000005, 2.000000000000001, 12, 12, 
1.8600000000000003, 1.9500000000000002, 13, 13, 
1.8600000000000003, 1.8999999999999995, 14, 14, 
1.8600000000000003, 1.8500000000000005, 15, 15, 
1.8600000000000003, 1.7999999999999998, 16, 16, 
1.8600000000000003, 1.75, 17, 17, 
1.8600000000000003, 1.7000000000000002, 18, 18, 
1.8600000000000003, 1.6500000000000004, 19, 19, 
1.8600000000000003, 1.6000000000000005, 20, 20, 
1.8600000000000003, 1.5499999999999998, 21, 21, 
1.9100000000000001, 1.5, 22, 22, 
1.9600000000000009, 1.5, 23, 23, 
2.0100000000000007, 1.5, 24, 24, 
2.0600000000000005, 1.5, 25, 25, 
2.1100000000000003, 1.5, 26, 26, 
2.16, 1.5, 27, 27, 
2.210000000000001, 1.5, 28, 28, 
2.2600000000000007, 1.5, 29, 29, 
2.3100000000000005, 1.5, 30, 30, 
2.3600000000000003, 1.5, 31, 31, 
2.41, 1.5, 32, 32, 
2.460000000000001, 1.5, 33, 33, 
2.5100000000000007, 1.5, 34, 34, 
2.5600000000000005, 1.5, 35, 35, 
2.6100000000000003, 1.5, 36, 36, 
2.66, 1.5, 37, 37, 
2.710000000000001, 1.5, 38, 38, 
2.7600000000000007, 1.5499999999999998, 39, 39, 
2.8100000000000005, 1.6000000000000005, 40, 40, 
2.8600000000000003, 1.6500000000000004, 41, 41, 
2.91, 1.6500000000000004, 42, 42, 
2.960000000000001, 1.7000000000000002, 43, 43, 
3.0100000000000007, 1.7000000000000002, 44, 44, 
3.0600000000000005, 1.7000000000000002, 45, 45, 
3.1100000000000003, 1.7000000000000002, 46, 46, 
3.16, 1.7000000000000002, 47, 47, 
3.210000000000001, 1.7000000000000002, 48, 48, 
