x, y, theta, stamp, 
-2.2774423769078567e-07, 2.642447043399443e-07, -2.6232976280419843e-06, 1729865326612094963, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617129233231783e-06, 1729865326658091420, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617156648307446e-06, 1729865326752160947, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617156648307446e-06, 1729865326802051279, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617156648307446e-06, 1729865326851773999, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617156648307446e-06, 1729865326912044304, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617156648307446e-06, 1729865327012041248, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617156648307446e-06, 1729865327102198571, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617156648307446e-06, 1729865327202092046, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617156648307446e-06, 1729865327311526375, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617156648307446e-06, 1729865327361496828, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617156648307446e-06, 1729865327411421826, 
-2.484482592990389e-07, 2.8826698894590663e-07, -2.8617156648307446e-06, 1729865327461490531, 
-1.6563220128773537e-07, 1.9217790736547613e-07, -1.908056626999028e-06, 1729865327697767535, 
-1.863362086851339e-07, 2.1620019197143847e-07, -2.146498357490173e-06, 1729865327808127699, 
-2.0704021608253242e-07, 2.402224765774008e-07, -2.3849262404971373e-06, 1729865327905938044, 
-2.2774422347993095e-07, 2.6424476118336315e-07, -2.623361623801447e-06, 1729865327997658589, 
-2.691522240638733e-07, 3.1228933039528783e-07, -3.100191824898549e-06, 1729865328116129818, 
-2.691522240638733e-07, 3.1228933039528783e-07, -3.100169996870546e-06, 1729865328212095863, 
-2.691522240638733e-07, 3.1228933039528783e-07, -3.1001481688425437e-06, 1729865328304350172, 
-2.691522240638733e-07, 3.1228933039528783e-07, -3.100126340814541e-06, 1729865328403186808, 
-2.691522240638733e-07, 3.1228933039528783e-07, -3.1001045127865383e-06, 1729865328502954853, 
-2.691522240638733e-07, 3.1228933039528783e-07, -3.1000826847585354e-06, 1729865328591625355, 
0.004087932873517275, 0.00021407562599051744, 0.0064040378775094015, 1729865328703260724, 
0.02775605395436287, 0.0010375180281698704, 0.03430128135293429, 1729865328852048095, 
0.050283245742321014, 0.0023485557176172733, 0.06225240836215427, 1729865328943064299, 
0.07216673344373703, 0.0040274872444570065, 0.08948272866937762, 1729865329012044269, 
0.10137065500020981, 0.0069703590124845505, 0.12529120280927963, 1729865329103305444, 
0.14778757095336914, 0.013886673375964165, 0.1796334097897706, 1729865329252177351, 
0.1801859587430954, 0.020563961938023567, 0.21607841308808332, 1729865329361511263, 
0.1951524317264557, 0.023936232551932335, 0.23349158074548226, 1729865329412300227, 
0.22262528538703918, 0.03096594475209713, 0.26499426195297515, 1729865329503025632, 
0.2523490786552429, 0.03985047712922096, 0.30934215299726947, 1729865329602028291, 
0.28413906693458557, 0.05062874034047127, 0.35956802510581926, 1729865329712143338, 
0.31315070390701294, 0.062169380486011505, 0.40221972894263947, 1729865329812033953, 
0.3387035131454468, 0.07333739101886749, 0.4398536094764657, 1729865329903024800, 
0.3797433078289032, 0.09381215274333954, 0.4988171007686656, 1729865330052107313, 
0.4038207530975342, 0.107260562479496, 0.5333828727163921, 1729865330143116200, 
0.42256736755371094, 0.11876244097948074, 0.5610377875355994, 1729865330211959158, 
0.4459153711795807, 0.13371263444423676, 0.597778507933471, 1729865330303019117, 
0.4830596446990967, 0.16050434112548828, 0.652490975891422, 1729865330452130794, 
0.4976624548435211, 0.17189806699752808, 0.6738779295438617, 1729865330512847703, 
0.5215891003608704, 0.19181255996227264, 0.7087542491638806, 1729865330612119129, 
0.5420231223106384, 0.20999275147914886, 0.7378749677632338, 1729865330703017026, 
0.5647308826446533, 0.2314567267894745, 0.7700108745455934, 1729865330802168733, 
0.5889595150947571, 0.2556290030479431, 0.8077593322468332, 1729865330913665550, 
0.610195517539978, 0.2787950336933136, 0.8367655946498527, 1729865331012095689, 
0.6283872127532959, 0.2996653914451599, 0.8643057936853881, 1729865331103148276, 
0.6572096943855286, 0.3354426324367523, 0.904424455590575, 1729865331252115360, 
0.6665154695510864, 0.3476457893848419, 0.9192307255373072, 1729865331302298442, 
0.6864581108093262, 0.3748486638069153, 0.9478070500229704, 1729865331411055721, 
0.7023649215698242, 0.3979470431804657, 0.9640023162544838, 1729865331504010065, 
0.7279977798461914, 0.4364284574985504, 0.9929629783671365, 1729865331651085176, 
0.7468351125717163, 0.4660804569721222, 1.0111161820270649, 1729865331762496825, 
0.7545256018638611, 0.4788843095302582, 1.0167243332331128, 1729865331811034170, 
0.7688844203948975, 0.5028201341629028, 1.0290778761295818, 1729865331903004246, 
0.7843855023384094, 0.5293247103691101, 1.0402119291837342, 1729865332003004539, 
0.7992492914199829, 0.5554320216178894, 1.051764045671473, 1729865332100012417, 
0.8157867789268494, 0.5854793190956116, 1.0644816411924751, 1729865332210120624, 
0.8293089270591736, 0.6104780435562134, 1.073100779260268, 1729865332303003557, 
0.8438235521316528, 0.638111412525177, 1.0835683677314794, 1729865332402028651, 
0.8667675256729126, 0.6825670599937439, 1.095445472959554, 1729865332562054202, 
0.8733012676239014, 0.6954631805419922, 1.0992445446214234, 1729865332610032918, 
0.8858055472373962, 0.7207510471343994, 1.1045535884549738, 1729865332703001686, 
0.8995094299316406, 0.7479862570762634, 1.1098952058398728, 1729865332801999442, 
0.914482057094574, 0.7787845134735107, 1.1174879171884118, 1729865332912799971, 
